N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"58,200",400,+0.69%,100,"3,474,413","5,969,783",55.94,"24,765,231",18.57,8.69,
2,SK하이닉스,"81,300",100,-0.12%,"5,000","591,866","728,002",47.82,"3,211,596",37.97,4.25,
3,LG화학,"758,000","38,000",+5.28%,"5,000","535,090","70,592",36.98,"1,079,055",423.94,1.84,
4,삼성바이오로직스,"804,000","33,000",+4.28%,"2,500","531,967","66,165",10.14,"757,043",154.88,4.77,
5,NAVER,"311,500","2,000",-0.64%,100,"511,680","164,263",55.50,"660,233",80.43,10.56,
6,셀트리온,"314,000","1,000",-0.32%,"1,000","423,710","134,939",21.21,"682,657",124.90,11.19,
7,삼성전자우,"50,300",200,+0.40%,100,"413,912","822,887",88.17,"2,094,452",16.05,N/A,
8,현대차,"179,000","9,000",+5.29%,"5,000","382,466","213,668",33.57,"6,705,377",18.97,4.32,
9,삼성SDI,"472,500","1,000",-0.21%,"5,000","324,912","68,765",42.32,"933,120",112.05,2.94,
10,카카오,"352,500","3,500",-0.98%,500,"310,249","88,014",32.46,"745,605",-119.01,-5.81,
11,LG생활건강,"1,573,000","128,000",+8.86%,"5,000","245,674","15,618",45.06,"93,135",35.49,20.32,
12,현대모비스,"239,000","1,000",+0.42%,"5,000","227,181","95,055",44.45,"624,262",10.58,7.28,
13,삼성물산,"110,500","1,000",+0.91%,100,"206,510","186,887",14.57,"734,914",18.82,4.77,
14,SK텔레콤,"237,000","1,000",-0.42%,500,"191,367","80,746",34.51,"527,756",23.33,3.92,
15,기아차,"47,200",850,+1.83%,"5,000","191,331","405,363",39.14,"3,709,884",13.25,6.50,
16,엔씨소프트,"840,000","1,000",-0.12%,500,"184,414","21,954",50.11,"113,078",38.46,14.72,
17,POSCO,"207,000","8,500",+4.28%,"5,000","180,477","87,187",52.65,"653,346",12.12,4.18,
18,SK이노베이션,"187,000","1,000",+0.54%,"5,000","172,911","92,466",24.06,"1,609,442",-9.79,-0.20,
19,SK,"240,500","4,000",-1.64%,200,"169,217","70,360",22.22,"283,437",245.66,4.31,
20,KB금융,"38,800","1,650",+4.44%,"5,000","161,333","415,808",64.88,"4,644,305",5.07,8.92,
21,신한지주,"32,850","2,000",+6.48%,"5,000","156,825","477,397",62.77,"4,986,444",4.73,9.09,
22,LG,"87,300","2,700",-3.00%,"5,000","150,642","172,557",34.97,"820,943",12.59,5.87,
23,SK바이오팜,"191,500","1,000",-0.52%,500,"149,970","78,313",2.29,"541,933",-174.09,-313.66,
24,LG전자,"83,000","2,700",-3.15%,"5,000","135,828","163,648",34.02,"1,678,036",30.89,0.22,
25,한국전력,"21,000","1,550",+7.97%,"5,000","134,812","641,964",17.91,"18,796,399",-8.78,-3.42,
26,넷마블,"150,000","5,000",-3.23%,100,"128,701","85,801",22.96,"657,032",75.38,3.54,
27,삼성에스디에스,"165,500","1,000",+0.61%,500,"128,060","77,378",12.40,"207,475",22.60,11.76,
28,KT&G,"88,100","1,900",+2.20%,"5,000","120,955","137,292",42.87,"718,848",11.45,12.39,
29,삼성생명,"56,300","1,000",+1.81%,500,"112,600","200,000",12.58,"1,777,903",14.82,3.26,
30,삼성전기,"139,000","2,000",-1.42%,"5,000","103,824","74,694",33.21,"495,878",20.88,10.18,
31,아모레퍼시픽,"174,000","6,000",+3.57%,500,"101,718","58,458",30.71,"684,434",64.23,5.36,
32,하나금융지주,"31,250","1,000",+3.31%,"5,000","93,826","300,242",65.05,"3,149,175",3.75,8.77,
33,고려아연,"450,500",500,+0.11%,"5,000","85,009","18,870",23.78,"81,738",13.72,9.76,
34,삼성화재,"174,500","9,000",+5.44%,500,"82,669","47,375",46.76,"234,071",14.96,4.85,
35,S-Oil,"64,000","2,600",+4.23%,"2,500","72,053","112,583",74.82,"1,733,323",-8.04,1.01,
36,CJ제일제당,"443,500","16,500",+3.86%,"5,000","66,765","15,054",21.80,"183,554",13.08,3.16,
37,우리금융지주,"9,050",160,+1.80%,"5,000","65,365","722,268",26.54,"3,502,776",3.50,N/A,
38,롯데케미칼,"190,000",0,0.00%,"5,000","65,123","34,275",29.16,"408,207",15.50,5.51,
39,코웨이,"88,000","8,400",+10.55%,500,"64,944","73,800",60.19,"735,222",19.44,30.74,
40,한국조선해양,"91,700","4,500",+5.16%,"5,000","64,899","70,773",16.79,"770,104",21.86,1.40,
41,KT,"24,750",300,+1.23%,"5,000","64,625","261,112",44.90,"1,991,726",10.84,4.61,
42,미래에셋대우,"9,430",60,-0.63%,"5,000","60,853","645,316",13.09,"8,391,838",12.78,7.56,
43,기업은행,"8,680",280,+3.33%,"5,000","58,718","676,472",13.12,"4,177,768",3.77,7.36,
44,포스코케미칼,"95,600","1,200",-1.24%,500,"58,305","60,988",7.67,"1,014,119",70.76,11.57,
45,한온시스템,"10,900",100,-0.91%,100,"58,184","533,800",20.95,"1,565,927",19.60,14.98,
46,오리온,"145,000","1,500",-1.02%,500,"57,327","39,536",44.10,"100,614",24.15,14.24,
47,LG유플러스,"11,900",300,-2.46%,"5,000","51,957","436,611",32.48,"3,964,016",11.51,6.30,
48,KODEX 200,"32,100",400,+1.26%,0,"51,248","159,650",7.90,"7,721,949",N/A,N/A,
49,한화솔루션,"32,050",950,+3.05%,"5,000","51,237","159,864",19.82,"4,670,904",-17.92,-4.02,
50,강원랜드,"23,050",450,+1.99%,500,"49,313","213,940",25.42,"682,972",64.75,9.16,
51,한진칼,"82,500",200,+0.24%,"2,500","48,816","59,170",17.01,"169,684",-9.88,-17.56,
52,현대글로비스,"130,000","1,500",+1.17%,500,"48,750","37,500",33.93,"223,536",8.76,11.25,
53,SK케미칼,"401,000",500,-0.12%,"5,000","47,083","11,741",11.28,"565,064",172.25,1.51,
54,LG디스플레이,"13,150",0,0.00%,"5,000","47,053","357,816",21.47,"3,364,698",-1.59,-22.35,
55,아모레G,"56,200","1,100",+2.00%,500,"46,341","82,458",20.90,"236,274",50.68,4.12,
56,유한양행,"69,200","2,400",+3.59%,"1,000","46,265","66,857",21.46,"2,397,897",33.58,2.43,
57,한미사이언스,"62,600",400,+0.64%,500,"41,323","66,011",1.72,"1,056,495",132.07,4.73,
58,신풍제약,"76,900","1,300",+1.72%,500,"40,745","52,985",2.55,"1,736,458","1,708.89",0.80,
59,현대건설,"36,450","2,000",+5.81%,"5,000","40,589","111,356",22.16,"4,035,924",9.33,6.30,
60,맥쿼리인프라,"11,300",250,+2.26%,0,"39,442","349,044",19.45,"760,389",N/A,N/A,
61,현대중공업지주,"247,000","15,000",+6.47%,"5,000","39,023","15,799",18.90,"124,998",-31.44,2.20,
62,LG이노텍,"160,000",500,-0.31%,"5,000","37,867","23,667",33.01,"194,359",17.54,4.73,
63,한미약품,"319,500","5,000",-1.54%,"2,500","37,838","11,843",15.16,"236,233",80.66,7.30,
64,한국타이어앤테크놀로지,"30,350","1,000",+3.41%,500,"37,596","123,875",37.59,"692,237",9.55,6.03,
65,현대제철,"27,550",950,+3.57%,"5,000","36,764","133,446",18.73,"2,412,882",-17.33,0.10,
66,에스원,"95,300","5,200",+5.77%,500,"36,213","37,999",55.89,"76,834",25.08,11.32,
67,한국금융지주,"64,800","2,100",-3.14%,"5,000","36,110","55,726",33.77,"839,421",8.43,18.14,
68,삼성중공업,"5,690",240,+4.40%,"5,000","35,847","630,000",15.73,"9,822,660",-2.50,-21.88,
69,CJ대한통운,"154,500","4,500",+3.00%,"5,000","35,245","22,812",20.43,"136,598",49.98,1.41,
70,녹십자,"301,500","10,500",+3.61%,"5,000","35,235","11,687",18.19,"480,566",-272.60,-0.35,
71,DB손해보험,"48,700","4,350",+9.81%,500,"34,480","70,800",39.57,"472,186",7.54,6.92,
72,이마트,"122,000","1,000",+0.83%,"5,000","34,008","27,876",30.23,"523,860",15.83,2.76,
73,삼성카드,"29,350",100,+0.34%,"5,000","34,005","115,859",9.70,"210,330",10.12,5.04,
74,현대차2우B,"92,000","3,000",+3.37%,"5,000","33,567","36,485",62.50,"406,957",9.75,N/A,
75,롯데지주,"31,450",800,+2.61%,200,"32,994","104,909",11.53,"321,923",-6.16,-5.21,
76,GS,"35,500",500,+1.43%,"5,000","32,985","92,915",21.31,"692,432",68.80,6.26,
77,SKC,"87,800",800,+0.92%,"5,000","32,955","37,535",8.22,"593,613",27.50,3.86,
78,대한항공,"18,900",150,+0.80%,"5,000","32,926","174,210",12.21,"3,584,198",-1.69,-22.09,
79,LG화학우,"416,000","1,000",+0.24%,"5,000","31,985","7,689",56.54,"226,883",232.66,N/A,
80,하이트진로,"44,800",500,+1.13%,"5,000","31,420","70,134",10.55,"470,265",649.28,-3.86,
81,대림산업,"87,300","1,500",+1.75%,"5,000","30,380","34,800",40.44,"344,542",5.24,11.74,
82,더존비즈온,"100,500",0,0.00%,500,"29,821","29,673",45.78,"54,068",62.27,18.78,
83,금호석유,"96,000","1,200",-1.23%,"5,000","29,249","30,468",32.71,"294,552",10.43,11.84,
84,삼성증권,"32,650",350,-1.06%,"5,000","29,156","89,300",24.77,"1,358,510",10.05,8.15,
85,호텔신라,"72,500","1,300",+1.83%,"5,000","28,455","39,248",21.36,"753,219",65.55,20.16,
86,두산밥캣,"28,150",850,+3.11%,500,"28,220","100,249",22.84,"683,781",11.90,7.05,
87,쌍용양회,"5,600",130,+2.38%,"1,000","28,216","503,860",3.01,"3,997,401",20.59,7.02,
88,TIGER 200,"32,115",430,+1.36%,0,"27,956","87,050",6.52,"2,254,233",N/A,N/A,
89,대우조선해양,"25,650","2,050",+8.69%,"5,000","27,498","107,206",9.49,"1,196,979","3,206.25",-1.22,
90,NH투자증권,"9,540",60,+0.63%,"5,000","26,846","281,409",13.43,"3,084,452",8.51,9.12,
91,KODEX 레버리지,"15,840",420,+2.72%,0,"26,611","168,000",2.31,"62,895,522",N/A,N/A,
92,GS리테일,"33,850",500,+1.50%,"1,000","26,064","77,000",17.42,"257,114",14.45,6.25,
93,두산퓨얼셀,"46,750",900,-1.89%,100,"25,943","55,494",4.67,"1,910,365",71.27,N/A,
94,키움증권,"117,000","1,000",-0.85%,"5,000","25,857","22,100",23.96,"295,758",13.86,16.97,
95,일진머티리얼즈,"55,400",900,-1.60%,500,"25,545","46,111",9.04,"610,655",48.34,8.52,
96,부광약품,"38,150",0,0.00%,500,"24,736","64,838",5.94,"1,812,538",-229.82,-2.00,
97,한국항공우주,"25,100",950,+3.93%,"5,000","24,466","97,475",14.80,"1,111,311",11.81,15.84,
98,CJ,"83,500","1,100",+1.33%,"5,000","24,363","29,177",18.59,"108,672",8.02,6.24,
99,한샘,"103,000","2,500",-2.37%,"1,000","24,240","23,534",25.27,"105,214",57.13,7.32,
100,삼성엔지니어링,"12,350",350,+2.92%,"5,000","24,206","196,000",30.97,"3,315,494",9.22,24.62,
101,한국가스공사,"25,700","1,000",+4.05%,"5,000","23,724","92,313",9.22,"479,144",52.24,0.48,
102,메리츠증권,"3,455",45,-1.29%,"1,000","23,354","675,962",12.53,"9,100,417",4.77,15.06,
103,BGF리테일,"133,000",500,+0.38%,"1,000","22,988","17,284",32.37,"44,206",16.14,26.46,
104,두산중공업,"9,050",200,-2.16%,"5,000","22,909","253,141",7.58,"3,581,306",-2.33,-14.73,
105,농심,"374,000","1,500",+0.40%,"5,000","22,749","6,083",19.40,"32,097",25.08,3.72,
106,롯데쇼핑,"80,400",500,+0.63%,"5,000","22,744","28,289",11.64,"202,418",-2.13,-8.14,
107,KODEX 200선물인버스2X,"4,000",110,-2.68%,0,"22,440","561,000",1.81,"176,358,160",N/A,N/A,
108,GS건설,"27,950","1,000",+3.71%,"5,000","22,387","80,098",29.49,"1,416,886",5.03,11.79,
109,현대차우,"91,400","2,400",+2.70%,"5,000","22,262","24,357",56.11,"535,233",9.68,N/A,
110,HMM,"6,800",100,+1.49%,"5,000","22,217","326,726",9.03,"3,978,047",-4.53,-55.46,
111,대웅,"36,800","1,100",-2.90%,500,"21,396","58,142",7.00,"13,371,834",32.42,10.43,
112,제일기획,"18,550",200,+1.09%,200,"21,340","115,041",29.37,"507,905",15.33,15.09,
113,동서,"21,400",200,+0.94%,500,"21,336","99,700",5.82,"174,171",15.69,10.53,
114,오뚜기,"590,000","17,000",+2.97%,"5,000","21,271","3,605",17.43,"13,485",18.41,7.79,
115,현대해상,"23,500","1,400",+6.33%,500,"21,009","89,400",40.09,"500,237",7.48,6.23,
116,신세계,"212,000","3,000",+1.44%,"5,000","20,872","9,845",28.75,"124,390",-14.74,14.24,
117,휠라홀딩스,"34,050","1,600",+4.93%,"1,000","20,686","60,752",42.34,"626,035",9.04,23.81,
118,종근당,"183,500","5,500",+3.09%,"2,500","19,975","10,886",12.88,"1,415,844",32.79,11.94,
119,팬오션,"3,720",70,+1.92%,"1,000","19,886","534,569",11.10,"1,913,766",13.93,5.49,
120,한솔케미칼,"173,500","3,500",-1.98%,"5,000","19,597","11,295",29.81,"97,583",19.91,20.88,
121,한화,"25,550",50,+0.20%,"5,000","19,152","74,959",19.12,"444,215",21.27,2.09,
122,KODEX 단기채권,"102,455",5,0.00%,0,"18,628","18,182",3.30,"7,100",N/A,N/A,
123,현대엘리베이,"46,550",550,+1.20%,"5,000","17,852","38,351",25.88,"288,881",100.98,5.22,
124,BNK금융지주,"5,400",110,+2.08%,"5,000","17,600","325,935",47.37,"2,365,996",3.37,7.07,
125,포스코인터내셔널,"14,200",300,+2.16%,"5,000","17,519","123,375",16.43,"335,212",8.31,7.06,
126,일양약품,"88,600","2,300",-2.53%,"2,500","16,910","19,086",8.86,"727,889",203.68,5.20,
127,LS ELECTRIC,"55,000",200,-0.36%,"5,000","16,500","30,000",16.24,"125,695",16.65,7.82,
128,두산인프라코어,"7,760",90,-1.15%,"5,000","16,246","209,353",4.76,"8,111,324",7.91,11.59,
129,한올바이오파마,"30,950","1,100",+3.69%,500,"16,168","52,241",6.28,"534,272",81.88,14.90,
130,LG생활건강우,"760,000","30,000",+4.11%,"5,000","15,958","2,100",88.23,"15,496",17.15,N/A,
131,만도,"33,800",700,+2.11%,"1,000","15,872","46,957",24.91,"1,257,114",15.56,7.55,
132,NHN,"79,800","1,700",-2.09%,500,"15,613","19,565",11.41,"367,603",81.60,0.78,
133,현대로템,"18,000",150,+0.84%,"5,000","15,300","85,000",4.44,"6,375,455",-4.17,-37.93,
134,효성,"72,500","2,600",+3.72%,"5,000","15,276","21,071",6.53,"213,189",20.14,4.25,
135,OCI,"63,500","1,300",-2.01%,"5,000","15,144","23,849",17.06,"482,090",-1.87,-26.20,
136,태영건설,"19,700","1,150",+6.20%,500,"15,051","76,400",7.69,"2,009,934",14.60,8.38,
137,대우건설,"3,600",75,+2.13%,"5,000","14,962","415,623",13.44,"2,439,363",6.99,8.80,
138,KG동부제철,"14,900","1,900",+14.62%,"5,000","14,901","100,009",0.16,"1,093,815",47.30,-7.44,
139,DB하이텍,"33,550",550,-1.61%,"5,000","14,896","44,399",31.41,"614,209",10.40,17.40,
140,F&F,"96,700","7,500",+8.41%,500,"14,892","15,400",10.33,"454,192",13.58,25.13,
141,TIGER 단기통안채,"100,630",5,0.00%,0,"14,792","14,699",4.95,"12,269",N/A,N/A,
142,HDC현대산업개발,"22,400",400,-1.75%,"5,000","14,763","65,907",10.23,"1,054,294",2.63,20.30,
143,메리츠화재,"12,950",400,+3.19%,500,"14,722","113,680",11.95,"266,207",4.46,12.80,
144,SK디스커버리,"77,300","10,100",+15.03%,"5,000","14,716","19,038",11.86,"13,258,128",6.56,11.52,
145,현대백화점,"62,500",900,+1.46%,"5,000","14,627","23,402",22.14,"145,169",9.38,4.64,
146,더블유게임즈,"79,600","2,100",+2.71%,500,"14,626","18,375",14.52,"363,970",12.59,18.93,
147,두산솔루스,"46,650","1,650",+3.67%,100,"14,270","30,590",6.30,"2,738,549",103.44,N/A,
148,녹십자홀딩스,"30,150",150,+0.50%,500,"14,179","47,028",7.36,"586,104",-670.00,0.37,
149,씨에스윈드,"81,800",500,+0.62%,500,"14,140","17,286",8.14,"596,217",42.87,9.92,
150,아이에스동서,"45,700",300,+0.66%,500,"14,118","30,893",5.21,"125,768",25.29,6.10,
151,한전KPS,"31,100","1,550",+5.25%,200,"13,995","45,000",15.96,"797,977",8.71,14.98,
152,한화에어로스페이스,"27,400",550,+2.05%,"5,000","13,873","50,630",15.90,"710,134",10.91,5.45,
153,LS,"42,900",500,+1.18%,"5,000","13,814","32,200",10.83,"172,491",-32.82,0.80,
154,대웅제약,"118,500",0,0.00%,"2,500","13,730","11,587",4.87,"664,737",81.61,4.34,
155,한화생명,"1,575",45,+2.94%,"5,000","13,679","868,530",7.86,"7,800,520",8.56,0.51,
156,파미셀,"22,750",150,-0.66%,500,"13,641","59,959",7.02,"2,876,407",320.42,8.78,
157,KCC,"151,500","9,000",+6.32%,"5,000","13,463","8,886",13.91,"192,345",-3.05,-4.37,
158,한국테크놀로지그룹,"14,200",250,+1.79%,500,"13,209","93,020",8.01,"765,659",9.38,4.71,
159,SK네트웍스,"5,280",50,+0.96%,"2,500","13,104","248,188",12.10,"930,930",-10.04,-5.85,
160,현대미포조선,"32,650","1,150",+3.65%,"5,000","13,041","39,942",12.66,"560,252",17.48,2.31,
161,지누스,"89,900","2,600",+2.98%,500,"12,952","14,407",17.78,"246,725",16.04,26.32,
162,KODEX 삼성그룹,"7,825",105,+1.36%,0,"12,810","163,700",0.03,"409,941",N/A,N/A,
163,메리츠금융지주,"9,300",90,+0.98%,500,"12,463","134,011",7.85,"121,730",3.38,15.26,
164,KODEX 종합채권(AA-이상)액티브,"111,025",0,0.00%,0,"12,243","11,027",0.00,"18,700",N/A,N/A,
165,한화시스템,"11,050",100,-0.90%,"5,000","12,180","110,230",2.00,"1,979,306",15.65,8.15,
166,롯데정밀화학,"47,100",200,+0.43%,"5,000","12,152","25,800",23.89,"121,879",7.12,11.73,
167,롯데관광개발,"17,450",650,+3.87%,500,"12,089","69,276",6.97,"683,593",-45.68,-4.77,
168,영진약품,"6,570",40,-0.61%,500,"12,016","182,893",4.68,"1,724,468",234.64,4.43,
169,KODEX 200TR,"10,295",140,+1.38%,0,"11,922","115,800",19.99,"295,365",N/A,N/A,
170,현대위아,"43,700","1,150",+2.70%,"5,000","11,884","27,195",11.94,"855,487",10.08,1.80,
171,KBSTAR 200,"32,160",415,+1.31%,0,"11,578","36,000",0.12,"291,094",N/A,N/A,
172,한국콜마,"50,300",100,+0.20%,500,"11,509","22,881",25.51,"336,158",41.92,6.39,
173,영원무역,"25,650",750,+3.01%,500,"11,366","44,311",24.05,"331,992",6.39,9.82,
174,드림텍,"18,000",450,-2.44%,100,"11,174","62,075",29.63,"5,114,786",51.87,13.24,
175,신세계인터내셔날,"152,000","5,500",+3.75%,"5,000","10,853","7,140",4.33,"91,269",19.44,12.98,
176,이노션,"51,800",100,+0.19%,500,"10,360","20,000",28.96,"96,859",13.70,9.88,
177,영풍,"558,000","4,000",-0.71%,"5,000","10,279","1,842",4.45,"3,474",4.15,7.40,
178,KODEX 코스닥150 레버리지,"13,820",105,-0.75%,0,"10,254","74,200",1.20,"12,101,480",N/A,N/A,
179,KODEX 인버스,"5,345",70,-1.29%,0,"10,145","189,800",1.19,"36,692,079",N/A,N/A,
180,아시아나항공,"4,465",155,+3.60%,"5,000","9,967","223,235",6.05,"15,763,698",-0.73,-90.67,
181,코오롱인더,"36,150",400,-1.09%,"5,000","9,753","26,979",16.68,"235,390",6.21,1.58,
182,다우기술,"21,450",50,-0.23%,500,"9,624","44,867",23.48,"232,033",7.47,14.62,
183,일진다이아,"67,400",400,+0.60%,"1,000","9,573","14,203",2.75,"977,222",73.58,8.06,
184,DGB금융지주,"5,650",250,+4.63%,"5,000","9,557","169,146",44.88,"2,267,630",3.07,7.31,
185,코스맥스,"92,900","2,000",+2.20%,500,"9,336","10,050",19.62,"127,704",33.79,10.45,
186,JB금융지주,"4,730",25,+0.53%,"5,000","9,317","196,983",39.10,"631,987",2.69,10.36,
187,삼양식품,"123,000","3,000",-2.38%,"5,000","9,266","7,533",7.98,"80,228",13.15,23.15,
188,대상,"26,500",0,0.00%,"1,000","9,182","34,648",17.84,"229,352",6.96,11.17,
189,쿠쿠홈시스,"40,550","1,900",+4.92%,100,"9,098","22,437",4.26,"81,965",15.25,16.10,
190,TRUE 코스피 양매도 5% OTM ETN,"8,995",140,-1.53%,0,"8,896","98,900",0.00,"20,266",N/A,N/A,
191,롯데리츠,"5,120",20,+0.39%,500,"8,805","171,969",8.73,"363,029",59.53,1.64,
192,현대오토에버,"41,900",600,-1.41%,500,"8,799","21,000",1.18,"49,265",15.80,11.71,
193,코리안리,"7,260",130,+1.82%,500,"8,739","120,369",27.81,"724,819",5.26,8.04,
194,SK가스,"93,800",500,+0.54%,"5,000","8,658","9,230",7.80,"32,373",3.32,9.85,
195,동아에스티,"101,000",0,0.00%,"5,000","8,528","8,444",26.16,"41,532",8.78,11.58,
196,금호타이어,"2,930",80,+2.81%,"5,000","8,417","287,260",3.90,"778,366",-9.30,-3.30,
197,후성,"9,010",240,-2.59%,500,"8,344","92,607",4.31,"3,167,746",450.50,3.85,
198,KODEX 단기채권PLUS,"102,670",0,0.00%,0,"8,299","8,083",0.00,"1,685",N/A,N/A,
199,오리온홀딩스,"13,200",200,-1.49%,500,"8,269","62,645",10.43,"280,900",14.19,2.55,
200,제일약품,"56,200",700,+1.26%,500,"8,264","14,705",5.14,"436,849",-116.12,-5.96,
